australia,501103,46336,2023-02-10 12:58:09.183,2023-02-10
australia,502013,48645,2023-02-10 09:42:06.499,2023-02-10
australia,502016,48650,2023-02-10 16:30:45.793,2023-02-10
australia,502018,48650,2023-02-10 16:37:49.957,2023-02-10
australia,502029,48650,2023-02-10 09:41:28.664,2023-02-10
australia,502039,48650,2023-02-10 09:42:07.938,2023-02-10
australia,502049,48650,2023-02-10 16:25:03.394,2023-02-10
australia,502074,48645,2023-02-10 09:41:41.218,2023-02-10
australia,502083,48650,2023-02-10 09:41:42.216,2023-02-10
australia,503004,46004,2023-02-10 13:04:08.264,2023-02-10
australia,503009,45999,2023-02-10 13:04:38.391,2023-02-10
australia,503074,45999,2023-02-10 13:03:42.692,2023-02-10
australia,503094,45999,2023-02-10 13:03:54.281,2023-02-10
australia,503108,45999,2023-02-10 13:03:36.951,2023-02-10
australia,503109,45999,2023-02-10 16:48:26.359,2023-02-10
australia,503112,45999,2023-02-10 13:03:42.769,2023-02-10
australia,504010,48542,2023-02-10 12:59:35.300,2023-02-10
australia,506047,46729,2023-02-10 06:12:05.528,2023-02-10
australia,506088,46729,2023-02-10 06:12:05.776,2023-02-10
australia,507048,44740,2023-02-10 20:07:21.227,2023-02-10
australia,501008,46331,2023-02-10 12:58:02.900,2023-02-10
australia,501018,46336,2023-02-10 12:58:15.324,2023-02-10
australia,501024,46336,2023-02-10 12:57:16.714,2023-02-10
australia,501033,46331,2023-02-10 12:57:44.099,2023-02-10
australia,501046,46331,2023-02-10 12:57:49.257,2023-02-10
australia,501059,46336,2023-02-10 12:57:08.424,2023-02-10
australia,501062,46336,2023-02-10 12:56:44.576,2023-02-10
australia,501064,46206,2023-02-10 12:58:39.832,2023-02-10
australia,501074,46336,2023-02-10 12:56:49.845,2023-02-10
australia,501076,46331,2023-02-10 12:58:21.151,2023-02-10
australia,501105,46206,2023-02-10 12:56:26.592,2023-02-10
australia,502005,48650,2023-02-10 09:41:23.121,2023-02-10
australia,502036,48645,2023-02-10 16:23:22.200,2023-02-10
australia,502042,6489,2023-02-10 09:41:23.784,2023-02-10
australia,502044,48520,2023-02-10 16:40:32.140,2023-02-10
australia,502047,48645,2023-02-10 09:41:47.261,2023-02-10
australia,502060,48650,2023-02-10 09:41:59.840,2023-02-10
australia,502087,48520,2023-02-10 16:30:12.029,2023-02-10
australia,503003,45999,2023-02-10 16:44:30.004,2023-02-10
australia,503006,46004,2023-02-10 13:03:31.391,2023-02-10
australia,503013,45999,2023-02-10 13:03:37.028,2023-02-10
australia,503044,45999,2023-02-10 13:04:45.312,2023-02-10
australia,503063,45999,2023-02-10 15:50:07.847,2023-02-10
australia,503071,45999,2023-02-10 13:04:51.439,2023-02-10
australia,503078,45999,2023-02-10 13:04:57.847,2023-02-10
australia,503107,45999,2023-02-10 13:03:59.937,2023-02-10
australia,504103,48672,2023-02-10 12:59:23.875,2023-02-10
australia,505019,48730,2023-02-10 09:45:56.678,2023-02-10
australia,505116,48600,2023-02-10 09:46:02.099,2023-02-10
australia,506067,46729,2023-02-10 06:12:16.197,2023-02-10
australia,506087,46729,2023-02-10 06:12:27.354,2023-02-10
australia,509042,42811,2023-02-10 09:50:07.595,2023-02-10
australia,501010,46331,2023-02-10 12:57:22.115,2023-02-10
australia,501025,46336,2023-02-10 12:57:21.789,2023-02-10
australia,501049,46206,2023-02-10 12:58:43.950,2023-02-10
australia,501056,46206,2023-02-10 16:13:20.717,2023-02-10
australia,501060,46331,2023-02-10 12:57:33.138,2023-02-10
australia,501066,46336,2023-02-10 12:57:07.841,2023-02-10
australia,501070,46336,2023-02-10 12:56:32.103,2023-02-10
australia,501072,46336,2023-02-10 12:56:31.963,2023-02-10
australia,501078,46206,2023-02-10 16:16:14.035,2023-02-10
australia,501086,46336,2023-02-10 12:58:15.638,2023-02-10
australia,501098,46331,2023-02-10 12:58:09.960,2023-02-10
australia,501102,46331,2023-02-10 12:57:49.697,2023-02-10
australia,502003,48650,2023-02-10 09:41:18.065,2023-02-10
australia,502007,48520,2023-02-10 16:19:08.557,2023-02-10
australia,502062,48650,2023-02-10 16:19:03.790,2023-02-10
australia,502085,48645,2023-02-10 09:42:13.184,2023-02-10
australia,502088,48645,2023-02-10 09:41:58.845,2023-02-10
australia,503015,45999,2023-02-10 13:05:03.824,2023-02-10
australia,503022,45999,2023-02-10 16:50:11.452,2023-02-10
australia,503027,45999,2023-02-10 16:46:14.289,2023-02-10
australia,503032,45999,2023-02-10 20:42:54.851,2023-02-10
australia,503033,46004,2023-02-10 13:04:07.871,2023-02-10
australia,503045,46004,2023-02-10 16:42:32.996,2023-02-10
australia,503052,45999,2023-02-10 13:03:59.387,2023-02-10
australia,503106,45999,2023-02-10 16:46:12.941,2023-02-10
australia,505034,48730,2023-02-10 09:45:50.957,2023-02-10
